country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,high_tech,2006,2007,2008,2009,2010,2011
Honduras,,,,,,1.444707459,1.960202074,2.779987805,3.271210297,1.499219523,2.627895245,3.386807038,0.444344711,0.200956461,1.872565353,1.012169063,1.476549663,6.253745658,1.273437832,1.430204569,,1.315192619,,
"Hong Kong, China",,,,,16.70023759,17.07176637,18.44223566,20.56571159,19.39501494,21.10548644,21.05626771,21.05718127,23.40700263,19.78441362,16.98076022,12.67960408,14.35209767,15.5996375,11.36362009,11.51720721,11.25305706,14.70895044,16.10010866,
Hungary,,,,,4.15397896,5.651729652,5.178781477,6.931477696,5.790023582,18.09564543,20.64480231,22.66881133,26.53428609,24.2319073,24.93343867,25.75538583,29.05280472,25.82748708,24.11858851,23.79265563,23.30431461,24.93819337,24.23588939,
Iceland,27.69921483,5.340830993,10.01254138,1.947317793,3.718243445,4.347914067,21.1336807,16.53203788,19.918246,19.93482971,20.45083847,16.60909962,12.85538733,10.10486459,12.00542838,13.64233689,14.04176464,33.96827921,46.88047286,60.66346169,40.74828151,31.44598071,20.86889363,
India,4.068699519,4.200619334,3.943481192,4.692855613,4.046947719,4.248778709,4.783519764,5.804881032,6.872112979,6.538267884,5.619516933,5.742129277,6.255549228,6.970229303,6.237803011,5.947717493,5.998070281,5.803803052,6.072403224,6.403290331,6.777733191,9.093724449,7.180548755,
Indonesia,,1.45487217,1.592896922,1.898487722,3.072878245,4.538731675,6.651505847,7.341590596,8.960798579,11.58807688,10.36910169,10.37253832,16.37362789,14.17833361,16.67002616,14.77894292,16.39094424,16.54892016,13.4699335,11.00217924,10.90277203,12.87447608,11.36808277,
Iran,,,,,,,,,,0.147038477,0.238673643,0.348300963,0.607823088,1.110279473,1.534949708,1.667332921,1.864535365,2.487093059,6.307392087,,,,4.458197392,
Iraq,,,,,,,,,,,,,,,,,,,,0.08699611,,,,
Ireland,42.34199414,43.58341123,41.1373716,38.38011078,36.58951214,40.14663688,40.86445861,45.95738348,46.7670313,46.45530764,44.43145022,47.07236771,47.83989232,47.6319454,40.79819131,34.67451384,34.04293876,34.73374007,34.52714006,27.25762938,25.72634234,24.26009355,21.22904555,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,
